fish_ID,district,site_info,capture_date,fork_length_mm,mass_g,sex,total_age,age_at_first_migration,number_of_migrations,skipped_migrations,winters_at_sea,maternal_anadromy,notes
DV_01,Nushagak,,6/25/2018,579,1714,M,6,5,2,0,0,Y,
DV_02,Nushagak,,6/25/2018,588,1896,M,7,7,1,0,0,N,
DV_03,Nushagak,,6/25/2018,585,1843,M,5,4,2,0,0,N,
DV_04,Nushagak,,6/25/2018,590,2195,M,5,5,1,0,0,N,
DV_05,Nushagak,,6/25/2018,600,2083,M,NE,NE,NE,NE,NE,NE,
DV_06,Nushagak,,6/25/2018,620,2380,M,5,5,1,0,0,N,
DV_07,Nushagak,,6/25/2018,605,2083,M,6,6,1,0,0,N,
DV_08,Nushagak,,6/25/2018,620,2232,M,6,6,1,0,0,Can't tell,Freshwater Sr/Ca is very high ~1.5 mmol/mol
DV_09,Nushagak,,6/25/2018,590,1947,M,6,6,1,0,0,N,
DV_10,Nushagak,,6/25/2018,580,1926,M,8,7,2,0,0,Y,
DV_11,Nushagak,,6/25/2018,563,1915,M,6,5,2,0,0,N,
DV_12,Nushagak,,6/25/2018,590,2026,M,7,6,2,0,0,Can't tell,Freshwater Sr/Ca is very high ~1.5 mmol/mol
DV_13,Nushagak,,6/25/2018,522,1627,M,6,5,2,0,0,N,
DV_14,Nushagak,,6/25/2018,570,1824,M,6,5,2,0,0,N,
DV_15,Nushagak,,6/25/2018,610,2089,M,6,5,2,0,0,N,
DV_16,Nushagak,,6/25/2018,542,1890,M,5,4,2,0,0,N,
DV_17,Nushagak,,6/25/2018,608,2222,M,6,5,2,0,0,N,
DV_18,Nushagak,,6/25/2018,649,2761,M,7,5,2,1,0,Can't tell,Freshwater Sr/Ca is very high ~1.5 mmol/mol
DV_19,Nushagak,,6/25/2018,572,1773,M,NE,NE,NE,NE,NE,NE,
DV_20,Nushagak,,6/25/2018,560,1796,M,NE,NE,NE,NE,NE,NE,
DV_21,Nushagak,,6/25/2018,528,1695,M,6,5,2,0,0,N,
DV_22,Nushagak,,6/25/2018,552,1920,M,6,5,2,0,0,N,
DV_23,Nushagak,,6/25/2018,605,2228,M,NE,NE,NE,NE,NE,NE,
DV_24,Nushagak,,6/25/2018,660,2822,M,NE,NE,NE,NE,NE,NE,
DV_25,Nushagak,,6/25/2018,585,2162,M,6,5,2,0,0,N,
DV_26,Nushagak,,6/25/2018,605,2327,M,7,5,2,0,0,N,
DV_27,Nushagak,,6/25/2018,690,3246,M,NE,NE,NE,NE,NE,NE,
DV_28,Nushagak,,6/25/2018,611,2250,M,6,4,2,1,0,Y,
DV_29,Nushagak,,6/25/2018,654,2794,M,6,5,2,0,0,N,
DV_30,Nushagak,,6/25/2018,681,3178,M,NE,NE,NE,NE,NE,NE,
EGE_1,Egegik,East Line,7/1/2013,490,,F,5,2,4,0,0,NE,
EGE_2,Egegik,"Deannie R, upriver",7/1/2013,470,,F,6,3,4,0,0,N,
EGE_3,Egegik,East Line,6/24/2013,510,,F,7,3,5,0,0,NE,
EGE_4,Egegik,"Deannie R, upriver",7/1/2013,490,,M,5,2,4,0,0,N,
EGE_5,Egegik,East Line,7/1/2013,505,,F,5,2,4,0,0,NE,
EGE_6,Egegik,"Deannie R, upriver",7/1/2013,510,,M,5,2,4,0,0,N,
EGE_7,Egegik,Char's Site,6/30/2013,530,,M,6,3,4,0,0,Y,
EGE_8,Egegik,East Line sandbar,7/2/2013,490,,M,5,2,4,0,0,Y,
EGE_9,Egegik,"Deannie R, upriver",7/1/2013,560,,M,5,3,3,0,0,Y,
EGE_10,Egegik,Char's Site,6/28/2013,500,,F,6,2,5,0,0,N,
EGE_11,Egegik,Char's Site,6/26/2013,515,,F,7,3,5,0,0,Y,
EGE_12,Egegik,"Deannie R, upriver",7/1/2013,505,,M,6,3,4,0,0,NE,
EGE_13,Egegik,"Deannie R, upriver",7/1/2013,510,,M,5,2,4,0,0,N,
EGE_14,Egegik,East Line,6/22/2013,495,,F,7,3,5,0,0,Y,
EGE_15,Egegik,East Line,6/22/2013,500,,F,6,3,4,0,0,N,
EGE_16,Egegik,"Deannie R, upriver",7/1/2013,490,,F,4,2,3,0,0,NE,
EGE_17,Egegik,"Deannie R, upriver",7/1/2013,530,,M,5,2,4,0,0,Y,
EGE_18,Egegik,Ivy Site,6/30/2013,530,,F,5,2,4,0,0,Y,
EGE_19,Egegik,Ivy Site,6/30/2013,500,,F,5,2,4,0,0,N,
EGE_20,Egegik,"Deannie R, upriver",7/1/2013,510,1500,M,6,3,4,0,0,N,
EGE_21,Egegik,"Deannie R, upriver",7/1/2013,550,1750,M,6,3,4,0,0,Y,
EGE_22,Egegik,Ivy Site,6/30/2013,520,,M,5,2,4,0,0,Y,
EGE_23,Egegik,"Deannie R, upriver",7/1/2013,530,,F,9,2,8,0,0,N,
EGE_24,Egegik,"Deannie R, upriver",7/1/2013,520,,M,6,3,4,0,0,N,
EGE_25,Egegik,Ivy Site,6/29/2013,530,1500,M,5,2,4,0,0,Y,
EGE_26,Egegik,Ivy Site,6/29/2013,525,1800,F,6,2,4,0,0,Y,
EGE_27,Egegik,East Line,7/2/2013,445,1040,F,5,3,3,0,0,Y,
EGE_28,Egegik,Sharon Site,6/26/2013,510,1300,F,5,2,4,0,0,Y,
EGE_29,Egegik,Sharon Site,6/26/2013,550,2000,M,6,3,4,0,0,Y,
EGE_30,Egegik,"Deannie R, upriver",7/1/2013,450,1040,F,6,3,4,0,0,N,
